processes,N,execution_s,computation_s,communication_s
25,18000,0.0270684436,0.0004061550,0.0266622882
25,18000,0.0011817099,0.0004260440,0.0007556659
25,18000,0.0022674771,0.0004204409,0.0018470362
25,18000,0.0092561133,0.0004150881,0.0088410256
25,18000,0.0100202132,0.0003574658,0.0096627474
25,18000,0.0019506909,0.0004105060,0.0015401848
25,18000,0.0013863171,0.0003923090,0.0009940080
25,18000,0.0015085229,0.0003899001,0.0011186228
25,18000,0.0031285358,0.0003851030,0.0027434328
25,18000,0.0011574689,0.0003859760,0.0007714929
25,18000,0.0019200301,0.0004243049,0.0014957252
25,18000,0.0210224260,0.0003873985,0.0206350274
25,18000,0.0138785262,0.0004019870,0.0134765394
25,18000,0.0132543677,0.0003789370,0.0128754303
25,18000,0.0375680588,0.0004186584,0.0371493995
25,18000,0.0012850141,0.0003666310,0.0009183831
25,18000,0.0130917272,0.0003960750,0.0126956524
